OBJECTID,FEATTYPE,TYPE,MAPNUMBER,CREATED,RETIRED,PID,SYMBOL,TEXTNOTE,SHAPE_Leng,geometry
447,Runway Centreline,5,H5507,2006-05-09,,1005179,0,,0.0102732127399,"LINESTRING (147.05063 -29.97475, 147.05628000000002 -29.98333)"
448,Runway Centreline,5,H5507,2006-05-09,,1005180,0,,0.0111108100515,"LINESTRING (147.67228 -29.64181, 147.68338 -29.64132)"
449,Runway Centreline,5,H5507,2006-05-09,,1005181,0,,0.00740067564483,"LINESTRING (147.60516 -29.65448, 147.60506 -29.66188)"
450,Runway Centreline,5,H5507,2006-05-09,,1005182,0,,0.00491253498715,"LINESTRING (147.96615 -29.68922, 147.96284 -29.69285)"
451,Runway Centreline,5,H5507,2006-05-09,,1005183,0,,0.00739280731522,"LINESTRING (147.86164 -29.73834, 147.8567 -29.74384)"
452,Runway Centreline,5,H5507,2006-05-09,,1005184,0,,0.012060265337,"LINESTRING (147.59449 -29.76949, 147.59457 -29.78155)"
453,Salt Evaporator Internal Line,6,I5301,2006-05-09,,1003926,114,,0.0116456106197,"LINESTRING (133.02585 -32.030879999999996, 133.03185 -32.03045, 133.03748 -32.0304)"
454,Salt Evaporator Internal Line,6,I5301,2006-05-09,,1003927,114,,0.0107064092954,"LINESTRING (133.02585 -32.030879999999996, 133.01869 -32.02292)"
455,Salt Evaporator Internal Line,6,I5301,2006-05-09,,1003928,114,,0.00371981182318,"LINESTRING (133.02214 -32.03115, 133.02585 -32.030879999999996)"
456,Salt Evaporator Internal Line,6,I5301,2006-05-09,,1003929,114,,0.00790537159151,"LINESTRING (133.01679000000001 -32.02533, 133.02214 -32.03115)"
457,Salt Evaporator Internal Line,6,I5301,2006-05-09,,1003930,114,,0.00462179618765,"LINESTRING (133.01753 -32.03148, 133.02214 -32.03115)"
458,Salt Evaporator Internal Line,6,I5301,2006-05-09,,1003931,114,,0.0088191962215,"LINESTRING (133.01753 -32.03148, 133.01485 -32.02843, 133.01498 -32.02603, 133.01484 -32.024969999999996, 133.01373 -32.02432)"
459,Salt Evaporator Internal Line,6,I5301,2006-05-09,,1003932,114,,0.0104334673041,"LINESTRING (133.02145000000002 -32.03594, 133.02807 -32.03336, 133.02585 -32.030879999999996)"
460,Salt Evaporator Internal Line,6,I5301,2006-05-09,,1003933,114,,0.00593784472685,"LINESTRING (133.02145000000002 -32.03594, 133.01753 -32.03148)"
