OBJECTID,FEATTYPE,TYPE,MAPNUMBER,CREATED,RETIRED,PID,SYMBOL,TEXTNOTE,SHAPE_Leng,geometry
1321,Runway Centreline,5,H5516,2006-05-09,,1006494,0,,0.0019053608582,"LINESTRING (149.93774 -31.10926, 149.93626 -31.10806)"
1322,Runway Centreline,5,H5516,2006-05-09,,1006495,706,,0.00610669304944,"LINESTRING (149.27034 -31.33443, 149.27393 -31.32949)"
1323,Runway Centreline,5,H5516,2006-05-09,,1006496,0,,0.0151861680486,"LINESTRING (149.09894 -30.95832, 149.08492999999999 -30.95246)"
1324,Runway Centreline,5,H5516,2006-05-09,,1006497,0,,0.00358620969828,"LINESTRING (148.5368 -31.63921, 148.53808 -31.64256)"
1325,Runway Centreline,5,H5516,2006-05-09,,1006498,0,,0.00397246774688,"LINESTRING (148.53808 -31.64256, 148.5395 -31.64627)"
1326,Runway Centreline,5,H5516,2006-05-09,,1006499,0,,0.00289430475244,"LINESTRING (148.53631000000001 -31.64485, 148.53808 -31.64256)"
1327,Runway Centreline,5,H5516,2006-05-09,,1006500,0,,0.00280223125384,"LINESTRING (148.53808 -31.64256, 148.53979 -31.64034)"
1328,Runway Centreline,5,I5504,2006-05-09,,1006512,706,,0.0056340482781,"LINESTRING (148.57838 -32.21688, 148.58318 -32.21393)"
1329,Runway Centreline,5,I5504,2006-05-09,,1006513,706,,0.00516186981626,"LINESTRING (148.57381 -32.21448, 148.57838 -32.21688)"
1330,Runway Centreline,5,I5504,2006-05-09,,1006514,706,,0.00589542195265,"LINESTRING (148.57838 -32.21688, 148.5836 -32.21962)"
1331,Runway Centreline,5,I5504,2006-05-09,,1006515,706,,0.0115989525389,"LINESTRING (148.56849 -32.22294, 148.57838 -32.21688)"
1332,Runway Centreline,5,I5504,2006-05-09,,1006516,0,,0.00555533977359,"LINESTRING (149.93807 -31.94532, 149.9386 -31.93979)"
1333,Runway Centreline,5,I5504,2006-05-09,,1006517,0,,0.0097338995269,"LINESTRING (149.95962 -32.0025, 149.96934 -32.00198)"
1334,Runway Centreline,5,I5504,2006-05-09,,1006518,0,,0.00546926868968,"LINESTRING (149.57075 -32.10916, 149.57448 -32.10516)"
1335,Runway Centreline,5,I5504,2006-05-09,,1006519,0,,0.00674763662329,"LINESTRING (149.65798999999998 -32.62918, 149.65944 -32.62259)"
1336,Runway Centreline,5,I5504,2006-05-09,,1006520,0,,0.00489719307357,"LINESTRING (149.10658999999998 -32.93165, 149.10444 -32.92725)"
1337,Runway Centreline,5,I5504,2006-05-09,,1006521,0,,0.00784149220493,"LINESTRING (148.93626 -32.99012, 148.93769 -32.98241)"
1338,Runway Centreline,5,I5504,2006-05-09,,1006522,0,,0.00666118608057,"LINESTRING (148.72056 -32.79295, 148.72601 -32.78912)"
1339,Runway Centreline,5,I5504,2006-05-09,,1006523,0,,0.00767454233164,"LINESTRING (149.9373 -32.70462, 149.94245 -32.698930000000004)"
1340,Runway Centreline,5,I5504,2006-05-09,,1006524,0,,0.00475600672834,"LINESTRING (149.89384 -32.699870000000004, 149.89098 -32.69607)"
1341,Runway Centreline,5,I5504,2006-05-09,,1006525,0,,0.00721560808248,"LINESTRING (148.62295 -32.95846, 148.6177 -32.95351)"
1342,Runway Centreline,5,I5504,2006-05-09,,1006526,0,,0.00522888133352,"LINESTRING (148.768 -32.992850000000004, 148.76896 -32.98771)"
1343,Runway Centreline,5,I5504,2006-05-09,,1006527,0,,0.00818264016074,"LINESTRING (148.56777 -32.61774, 148.57587 -32.6189)"
1344,Runway Centreline,5,I5504,2006-05-09,,1006528,0,,0.00595252047454,"LINESTRING (149.16258 -32.52072, 149.15995 -32.51538)"
1345,Runway Centreline,5,I5504,2006-05-09,,1006529,0,,0.0080649674519,"LINESTRING (149.57677 -31.93869, 149.56876 -31.93775)"
1346,Runway Centreline,5,I5504,2006-05-09,,1006530,0,,0.00644019409645,"LINESTRING (149.64709 -32.89796, 149.64065 -32.897909999999996)"
1347,Runway Centreline,5,I5504,2006-05-09,,1006531,0,,0.00445224662389,"LINESTRING (149.95991 -32.73828, 149.96147 -32.74245)"
1348,Runway Centreline,5,I5504,2006-05-09,,1006532,0,,0.00698002865323,"LINESTRING (149.97059000000002 -32.93535, 149.97057 -32.94233)"
1349,Runway Centreline,5,I5504,2006-05-09,,1006533,0,,0.00688801858302,"LINESTRING (148.59521 -32.518209999999996, 148.59353 -32.51153)"
1350,Runway Centreline,5,I5504,2006-05-09,,1006534,0,,0.00791775852121,"LINESTRING (149.44732 -32.02629, 149.45454 -32.02954)"
1351,Runway Centreline,5,I5504,2006-05-09,,1006535,0,,0.00533743384033,"LINESTRING (150.05259999999998 -32.97222, 150.04799 -32.97491)"
1352,Runway Centreline,5,I5504,2006-05-09,,1006536,0,,0.00768625396405,"LINESTRING (150.0398 -32.81782, 150.04304 -32.82479)"
1353,Runway Centreline,5,I5504,2006-05-09,,1006537,0,,0.0141299433828,"LINESTRING (150.07378 -32.42818, 150.08661 -32.42226)"
1354,Runway Centreline,5,I5504,2006-05-09,,1006538,0,,0.00942543367703,"LINESTRING (149.55489 -32.29845, 149.56431 -32.29877)"
1355,Runway Centreline,5,I5504,2006-05-09,,1006539,0,,0.0052476470918,"LINESTRING (149.21068 -31.97096, 149.21591 -31.97053)"
1356,Runway Centreline,5,I5504,2006-05-09,,1006540,0,,0.0133401199395,"LINESTRING (149.75823 -32.28057, 149.77095 -32.27655)"
1357,Runway Centreline,5,I5504,2006-05-09,,1006541,0,,0.00507469210888,"LINESTRING (148.98746 -32.45932, 148.9912 -32.46275)"
1358,Runway Centreline,5,I5504,2006-05-09,,1006542,0,,0.00529399659993,"LINESTRING (148.9912 -32.46275, 148.9951 -32.46633)"
1359,Runway Centreline,5,I5504,2006-05-09,,1006543,0,,0.00553553068821,"LINESTRING (148.98633999999998 -32.4654, 148.9912 -32.46275)"
1360,Runway Centreline,5,I5504,2006-05-09,,1006544,0,,0.00451479789139,"LINESTRING (148.9912 -32.46275, 148.99517 -32.4606)"
1361,Runway Centreline,5,I5504,2006-05-09,,1006545,0,,0.00215127868952,"LINESTRING (149.99105 -32.77073, 149.99319 -32.77095)"
1362,Runway Centreline,5,I5504,2006-05-09,,1006546,0,,0.00698416781012,"LINESTRING (149.99319 -32.77095, 150.00014 -32.77164)"
1363,Runway Centreline,5,I5504,2006-05-09,,1006547,0,,0.00548077549257,"LINESTRING (149.99261 -32.7655, 149.99319 -32.77095)"
1364,Runway Centreline,5,I5504,2006-05-09,,1006548,0,,0.00245489307303,"LINESTRING (149.99319 -32.77095, 149.99346 -32.77339)"
1365,Runway Centreline,5,I5504,2006-05-09,,1006549,0,,0.00284073934038,"LINESTRING (149.7939 -31.98169, 149.79487 -31.97902)"
1366,Runway Centreline,5,I5504,2006-05-09,,1006550,0,,0.00422309128483,"LINESTRING (149.79487 -31.97902, 149.79631 -31.97505)"
1367,Runway Centreline,5,I5504,2006-05-09,,1006551,0,,0.0020478281178,"LINESTRING (149.79287 -31.97858, 149.79487 -31.97902)"
1368,Runway Centreline,5,I5504,2006-05-09,,1006552,0,,0.00384837628098,"LINESTRING (149.79487 -31.97902, 149.79863 -31.97984)"
1369,Runway Centreline,5,I5504,2006-05-09,,1006553,706,,0.00327287335532,"LINESTRING (149.61563999999998 -32.56057, 149.6129 -32.56236)"
1370,Runway Centreline,5,I5504,2006-05-09,,1006554,706,,0.0141927657629,"LINESTRING (149.6129 -32.56236, 149.60101 -32.57011)"
1371,Runway Centreline,5,I5504,2006-05-09,,1006555,706,,0.00785046495438,"LINESTRING (149.61153000000002 -32.55463, 149.6129 -32.56236)"
1372,Runway Centreline,5,I5504,2006-05-09,,1006556,706,,0.00187920195828,"LINESTRING (149.6129 -32.56236, 149.61323 -32.56421)"
2550,Runway Centreline,5,D5412,2006-05-09,,1006209,0,,0.00893082862898,"LINESTRING (142.61804999999998 -14.118749999999999, 142.62616 -14.122489999999999)"
2551,Runway Centreline,5,D5412,2006-05-09,,1006210,0,,0.0168926048909,"LINESTRING (142.67295000000001 -14.160870000000003, 142.68919 -14.156219999999998)"
2552,Runway Centreline,5,D5412,2006-05-09,,1006211,0,,0.0105421487373,"LINESTRING (143.31504999999999 -14.300240000000002, 143.30665 -14.30661)"
2553,Runway Centreline,5,D5412,2006-05-09,,1006212,0,,0.00920682355649,"LINESTRING (143.68387 -14.495310000000003, 143.67637 -14.48997)"
2554,Runway Centreline,5,D5412,2006-05-09,,1006213,0,,0.00814078620281,"LINESTRING (142.82091 -14.47607, 142.82859 -14.478769999999997)"
2555,Runway Centreline,5,D5412,2006-05-09,,1006214,0,,0.00858382955176,"LINESTRING (143.59529 -14.736020000000003, 143.58724999999998 -14.7331, 143.58728 -14.7331)"
2556,Runway Centreline,5,D5412,2006-05-09,,1006215,0,,0.0101903876276,"LINESTRING (143.50451 -14.781939999999999, 143.50497000000001 -14.77176)"
2557,Runway Centreline,5,D5412,2006-05-09,,1006216,0,,0.00925700275468,"LINESTRING (143.27095 -14.850499999999997, 143.27956 -14.853900000000003)"
