NAME,geometry
WYCHEPROOF AERODROME,"LINESTRING (15945783.060275808 -4309394.993395007, 15945788.626358537 -4307940.875025135)"
MOUNT GAMBIER AIRPORT,"LINESTRING (15672654.040734781 -4542811.559606282, 15672577.230250932 -4543573.150509548)"
MOUNT GAMBIER AIRPORT,"LINESTRING (15671980.55786711 -4543864.568741769, 15672577.230250932 -4543573.150509548)"
MOUNT GAMBIER AIRPORT,"LINESTRING (15671536.393194677 -4543594.267434414, 15671980.55786711 -4543864.568741769)"
MOUNT GAMBIER AIRPORT,"LINESTRING (15671546.411916258 -4544075.746467262, 15671980.55786711 -4543864.568741769)"
MOUNT GAMBIER AIRPORT,"LINESTRING (15672577.230250932 -4543573.150509548, 15672514.891307699 -4544188.376415304)"
MOUNT GAMBIER AIRPORT,"LINESTRING (15671980.55786711 -4543864.568741769, 15672514.891307699 -4544188.376415304)"
MOUNT GAMBIER AIRPORT,"LINESTRING (15672514.891307699 -4544188.376415304, 15672462.571123088 -4544706.489569417)"
NARACOORTE AERODROME,"LINESTRING (15664575.593451383 -4436442.957526467, 15665873.578500045 -4436299.4259357825)"
NARACOORTE AERODROME,"LINESTRING (15665933.691015622 -4436285.490929183, 15665299.169948278 -4437536.927855339)"
NARACOORTE AERODROME,"LINESTRING (15664575.593451383 -4436442.957526467, 15665873.578500045 -4436299.4259357825)"
NARACOORTE AERODROME,"LINESTRING (15665933.691015622 -4436285.490929183, 15665299.169948278 -4437536.927855339)"
KEMPSEY AIRPORT,"LINESTRING (17004985.698982537 -3642685.1833728766, 17006556.416928597 -3641564.8636885635)"
PORT MACQUARIE AIRPORT,"LINESTRING (17016094.264075696 -3690201.4418790084, 17017017.102723762 -3688584.9410869773)"
TAREE AERODROME,"LINESTRING (16978579.59385515 -3748005.2638967396, 16977340.607938774 -3749273.057614488)"
GUNNEDAH AERODROME,"LINESTRING (16724695.503642974 -3626695.7652019234, 16726308.522750644 -3627736.850093701)"
GUNNEDAH AERODROME,"LINESTRING (16724695.503642974 -3626695.7652019234, 16726308.522750644 -3627736.850093701)"
TAMWORTH AIRPORT,"LINESTRING (16791049.702437896 -3641907.9430346233, 16791422.62264749 -3642254.9550810014, 16792031.540124025 -3642821.6324056895, 16792661.60829886 -3643409.1326670963, 16792954.378493305 -3643680.7959949947, 16793030.075729758 -3643752.2873372077)"
TAMWORTH AIRPORT,"LINESTRING (16791571.790542327 -3644173.444528529, 16790617.78272181 -3643293.449891139)"
QUIRINDI AERODROME,"LINESTRING (16754981.0729551 -3698059.948025749, 16755429.690466244 -3697852.358211953, 16755978.495510835 -3697599.0773086534, 16756153.267097075 -3697518.132973346)"
PORT KEATS AERODROME,"LINESTRING (14419455.068773098 -1603625.7544526968, 14418977.508185396 -1602242.9181077352)"
CHARLEVILLE AERODROME,"LINESTRING (16281769.826358795 -3051475.199055025, 16281816.58063925 -3050245.880517873)"
CHARLEVILLE AERODROME,"LINESTRING (16281204.32356095 -3049562.280776047, 16282613.628039787 -3051084.8883880284)"
MEEKATHARRA AERODROME,"LINESTRING (13197658.117003374 -3074550.991301794, 13195265.861431034 -3074767.6324814726)"
MEEKATHARRA AERODROME,"LINESTRING (13197658.117003374 -3074550.991301794, 13195265.861431034 -3074767.6324814726)"
MEEKATHARRA AERODROME,"LINESTRING (13197658.117003374 -3074550.991301794, 13195265.861431034 -3074767.6324814726)"
GRIFFITH AERODROME,"LINESTRING (16258682.082149154 -4063287.430229262, 16260167.083991047 -4062619.4198451336)"
GRIFFITH AERODROME,"LINESTRING (16260167.083991047 -4062619.4198451336, 16260340.74237736 -4062541.3082992043)"
GRIFFITH AERODROME,"LINESTRING (16260159.29161659 -4062748.7091288604, 16260167.083991047 -4062619.4198451336)"
GRIFFITH AERODROME,"LINESTRING (16260167.083991047 -4062619.4198451336, 16260198.253496954 -4062009.3559379703)"
NARRANDERA AERODROME,"LINESTRING (16308968.42288321 -4122268.3093656707, 16309754.338271841 -4123340.652302386)"
NARRANDERA AERODROME,"LINESTRING (16309754.338271841 -4123340.652302386, 16310126.145268656 -4123848.426240397)"
NARRANDERA AERODROME,"LINESTRING (16309188.835306423 -4123769.88895364, 16309754.338271841 -4123340.652302386)"
NARRANDERA AERODROME,"LINESTRING (16309754.338271841 -4123340.652302386, 16310204.068975158 -4123015.689121696)"
DENILIQUIN AERODROME,"LINESTRING (16134711.135369703 -4240367.085435034, 16136036.950343857 -4239763.635413115)"
DENILIQUIN AERODROME,"LINESTRING (16134948.24594014 -4239249.155305573, 16135428.032820124 -4239837.525431272)"
TOCUMWAL AERODROME,"LINESTRING (16207643.198397161 -4274559.420390532, 16208118.532541163 -4274622.564413101)"
TOCUMWAL AERODROME,"LINESTRING (16208499.245090107 -4275182.640114785, 16208574.94237655 -4274665.118211735)"
TOCUMWAL AERODROME,"LINESTRING (16208574.94237655 -4274665.118211735, 16208760.84600567 -4273403.675709842)"
TOCUMWAL AERODROME,"LINESTRING (16208946.749411067 -4274724.144700745, 16208574.94237655 -4274665.118211735)"
TOCUMWAL AERODROME,"LINESTRING (16208574.94237655 -4274665.118211735, 16207558.59560236 -4274505.885555301)"
NORMANTON AERODROME,"LINESTRING (15703379.476427339 -2000383.489008915, 15704325.691958888 -2001814.821312275)"
NORMANTON AERODROME,"LINESTRING (15703379.476427339 -2000383.489008915, 15704325.691958888 -2001814.821312275)"
KALGOORLIE-BOULDER AERODROME,"LINESTRING (13521095.76626407 -3604469.4664855124, 13520995.578775901 -3605555.3417646633)"
KALGOORLIE-BOULDER AERODROME,"LINESTRING (13520305.398018876 -3605297.4702397045, 13520995.578775901 -3605555.3417646633)"
KALGOORLIE-BOULDER AERODROME,"LINESTRING (13520995.578775901 -3605555.3417646633, 13520981.107249737 -3605709.5489106863)"
KALGOORLIE-BOULDER AERODROME,"LINESTRING (13520995.578775901 -3605555.3417646633, 13522417.128496418 -3606087.947588248)"
NARRABRI AERODROME,"LINESTRING (16679859.366433246 -3544052.8125486583, 16678453.401456606 -3543889.045180986)"
NARRABRI AERODROME,"LINESTRING (16678723.907774933 -3543993.4949255353, 16678328.7234575 -3545726.7125238115)"
BUSSELTON AERODROME,"LINESTRING (12847025.198001025 -3985889.824663523, 12846072.303438688 -3987857.800178942)"
SNOWY MOUNTAINS AIRPORT,"LINESTRING (16583272.942250594 -4343168.748558553, 16583842.898223983 -4340556.818042146)"
FORBES AERODROME,"LINESTRING (16466491.06154143 -3943426.854469938, 16467962.70497423 -3943681.426976513)"
WEST WYALONG AERODROME,"LINESTRING (16386109.48815813 -4019926.7712214566, 16385423.760126064 -4020684.8636769434)"
WEST WYALONG AERODROME,"LINESTRING (16384064.549364155 -4020467.4938255735, 16385423.760126064 -4020684.8636769434)"
WEST WYALONG AERODROME,"LINESTRING (16385423.760126064 -4020684.8636769434, 16386082.771404626 -4020789.524710608)"
WEST WYALONG AERODROME,"LINESTRING (16384168.076474693 -4020474.202715478, 16386105.035301482 -4020768.055717123)"
GERALDTON AERODROME,"LINESTRING (12768723.035873221 -3350769.7796011646, 12769422.122041212 -3348616.662317039)"
LAVERTON AERODROME,"LINESTRING (13629770.282156764 -3326253.765783453, 13627847.794815818 -3326971.4933245666)"
HORN ISLAND AERODROME,"LINESTRING (15840187.828146294 -1185620.4221051685, 15839813.794696651 -1185157.2395179432, 15839441.98763654 -1184697.4604693174)"
HORN ISLAND AERODROME,"LINESTRING (15839813.794696651 -1185157.2395179432, 15838462.376121102 -1185269.3539700331)"
HORN ISLAND AERODROME,"LINESTRING (15839813.794696651 -1185157.2395179432, 15839441.98763654 -1184697.4604693174)"
HORN ISLAND AERODROME,"LINESTRING (15840187.828146294 -1185620.4221051685, 15839813.794696651 -1185157.2395179432)"
BUNDABERG AIRPORT,"LINESTRING (16955830.44300729 -2863039.455403051, 16956759.960510526 -2864507.309369096)"
LIGHTNING RIDGE AERODROME,"LINESTRING (16473269.351942832 -3433576.7366159675, 16473793.666724652 -3433093.4979809658)"
LIGHTNING RIDGE AERODROME,"LINESTRING (16473458.595047913 -3433644.4937609127, 16473269.351942832 -3433576.7366159675)"
LIGHTNING RIDGE AERODROME,"LINESTRING (16473269.351942832 -3433576.7366159675, 16471936.857844071 -3433099.889738331)"
LIGHTNING RIDGE AERODROME,"LINESTRING (16472984.374057233 -3433838.8180083046, 16473269.351942832 -3433576.7366159675)"
COLLARENEBRI AERODROME,"LINESTRING (16540155.659033384 -3442202.6432142607, 16539633.570638686 -3442696.4563557897)"
COLLARENEBRI AERODROME,"LINESTRING (16539633.570638686 -3442696.4563557897, 16539416.497638704 -3442902.430617869)"
COLLARENEBRI AERODROME,"LINESTRING (16539599.061560772 -3443121.201941646, 16539633.570638686 -3442696.4563557897)"
COLLARENEBRI AERODROME,"LINESTRING (16539633.570638686 -3442696.4563557897, 16539712.607558664 -3441728.0373672773)"
COLLARENEBRI AERODROME,"LINESTRING (16539599.061560772 -3443121.201941646, 16539634.683834545 -3442684.9423623024)"
COLLARENEBRI AERODROME,"LINESTRING (16539634.683834545 -3442684.9423623024, 16539712.607558664 -3441728.0373672773)"
COLLARENEBRI AERODROME,"LINESTRING (16539451.006681101 -3442855.0946263135, 16539634.683834545 -3442684.9423623024)"
COLLARENEBRI AERODROME,"LINESTRING (16539634.683834545 -3442684.9423623024, 16540006.490920886 -3442340.806650698)"
GOODOOGA AERODROME,"LINESTRING (16407298.094440017 -3385341.4104013257, 16406386.387987286 -3384581.024259752)"
WALGETT AERODROME,"LINESTRING (16489098.974703416 -3508384.791707208, 16489192.483111238 -3507874.3018889376)"
WALGETT AERODROME,"LINESTRING (16489192.483111238 -3507874.3018889376, 16489359.462410804 -3506963.957698569)"
WALGETT AERODROME,"LINESTRING (16490085.26536669 -3507325.2589132097, 16489192.483111238 -3507874.3018889376)"
WALGETT AERODROME,"LINESTRING (16489192.483111238 -3507874.3018889376, 16488484.491198042 -3508308.9241095968)"
COONAMBLE AERODROME,"LINESTRING (16517860.576506559 -3629845.2287103953, 16517447.581220187 -3630152.9499660884, 16516431.234329661 -3630908.6523132552)"
COONAMBLE AERODROME,"LINESTRING (16517447.58122031 -3630151.651547946, 16516865.380402666 -3629690.721648286)"
COONAMBLE AERODROME,"LINESTRING (16517860.576506559 -3629845.2287103953, 16517447.58122031 -3630151.651547946)"
COONAMBLE AERODROME,"LINESTRING (16517447.58122031 -3630151.651547946, 16516431.234329661 -3630908.6523132552)"
OLYMPIC DAM AERODROME,"LINESTRING (15236167.095723854 -3566320.3381718895, 15237901.45318158 -3565687.3749717483)"
MOUNT MAGNET AERODROME,"LINESTRING (13117603.837518508 -3262736.5984099167, 13118346.338525869 -3264516.2077673757)"
ADELAIDE INTERNATIONAL AIRPORT,"LINESTRING (15421450.54215809 -4156738.9038653052, 15422533.680675406 -4155830.3800668656)"
ADELAIDE INTERNATIONAL AIRPORT,"LINESTRING (15420153.67034166 -4155872.4773214343, 15421450.54215809 -4156738.9038653052)"
ADELAIDE INTERNATIONAL AIRPORT,"LINESTRING (15421450.54215809 -4156738.9038653052, 15421833.481132211 -4156994.227368932)"
ADELAIDE INTERNATIONAL AIRPORT,"LINESTRING (15419534.733948207 -4158348.354455029, 15421450.54215809 -4156738.9038653052)"
ADELAIDE INTERNATIONAL AIRPORT,"LINESTRING (15421450.54215809 -4156738.9038653052, 15422533.680675406 -4155830.3800668656)"
ADELAIDE INTERNATIONAL AIRPORT,"LINESTRING (15420153.67034166 -4155872.4773214343, 15421450.54215809 -4156738.9038653052)"
ADELAIDE INTERNATIONAL AIRPORT,"LINESTRING (15421450.54215809 -4156738.9038653052, 15421833.481132211 -4156994.227368932)"
ADELAIDE INTERNATIONAL AIRPORT,"LINESTRING (15419534.733948207 -4158348.354455029, 15421450.54215809 -4156738.9038653052)"
MERIMBULA AERODROME,"LINESTRING (16686256.804014198 -4427067.402166094, 16687373.338510076 -4425380.080719514)"
BAIRNSDALE AERODROME,"LINESTRING (16427359.980070682 -4563532.389648673, 16427935.50178059 -4563117.710461491)"
BAIRNSDALE AERODROME,"LINESTRING (16426977.041143386 -4562973.845924462, 16427359.980070682 -4563532.389648673)"
BAIRNSDALE AERODROME,"LINESTRING (16426791.137529649 -4563941.443163191, 16427359.980070682 -4563532.389648673)"
BAIRNSDALE AERODROME,"LINESTRING (16427359.980070682 -4563532.389648673, 16427588.184954664 -4563865.273426156)"
,"LINESTRING (16380834.003976416 -4593379.200579592, 16381875.954303766 -4592619.604129268)"
,"LINESTRING (16378266.977002623 -4592976.055542075, 16380834.003976416 -4593379.200579592)"
,"LINESTRING (16379364.586848408 -4594448.671202555, 16380834.003976416 -4593379.200579592)"
MOUNT HOTHAM AERODROME,"LINESTRING (16400527.546127182 -4445317.885511716, 16402050.396409204 -4446337.452115473)"
LONGREACH AERODROME,"LINESTRING (16060177.297903592 -2685009.265401591, 16061711.28044411 -2683555.799847722)"
BARCALDINE AERODROME,"LINESTRING (16175260.488809954 -2699622.841195355, 16175163.640837364 -2699954.377831072)"
BARCALDINE AERODROME,"LINESTRING (16175020.038720408 -2699784.3581685163, 16175163.640837364 -2699954.377831072)"
BARCALDINE AERODROME,"LINESTRING (16175163.640837364 -2699954.377831072, 16175724.69096881 -2700617.4718262996)"
BARCALDINE AERODROME,"LINESTRING (16175163.640837364 -2699954.377831072, 16174733.947533732 -2701425.123410697)"
KIMBA AERODROME,"LINESTRING (15190728.699158695 -3908322.5652944245, 15191226.297230726 -3907728.601859524, 15192018.891922792 -3906779.91753875)"
WUDINNA AERODROME,"LINESTRING (15077860.771440525 -3901606.022996833, 15076716.407300392 -3900007.162809277)"
PARABURDOO AERODROME,"LINESTRING (13106381.688809607 -2653288.503127088, 13108635.908225456 -2652247.1509813764)"
NUMBULWAR AERODROME,"LINESTRING (15108213.210919365 -1606028.6759597752, 15107528.59612165 -1604843.2731167672)"
MALLACOOTA AERODROME,"LINESTRING (16666866.054492008 -4524000.6961434325, 16666999.637970926 -4522976.384640672, 16667037.486622741 -4522691.168987788)"
ORBOST AERODROME,"LINESTRING (16543860.261530176 -4549525.687512706, 16542389.7312659 -4549911.651721646)"
ALBANY AERODROME,"LINESTRING (13113839.061740816 -4155747.551162405, 13114519.223758208 -4156430.629557486, 13115390.85527965 -4157306.6065154453)"
FLINDERS ISLAND AIRPORT,"LINESTRING (16475773.899013948 -4878973.747662523, 16474560.516716663 -4879667.84704632)"
ST HELENS AERODROME,"LINESTRING (16506360.016984528 -5062246.139284476, 16507782.679791573 -5062335.096714538)"
LAUNCESTON AIRPORT,"LINESTRING (16388117.586774029 -5094114.1502146395, 16386689.358217599 -5091883.120265125)"
KARUMBA AERODROME,"LINESTRING (15677113.645736767 -1973910.2690906625, 15677935.183578247 -1972854.2221379005)"
STRAHAN AERODROME,"LINESTRING (16173462.473052884 -5185150.616336234, 16173780.846883237 -5183531.856124975)"
KING ISLAND AIRPORT,"LINESTRING (16017449.380135236 -4848433.444740511, 16015581.43950428 -4847558.762767068)"
DEVONPORT AIRPORT,"LINESTRING (16299299.12774623 -5037382.058550652, 16301669.11930003 -5036805.340747049)"
SMITHTON AERODROME,"LINESTRING (16149669.067896347 -4988577.050723084, 16151642.762153171 -4987825.193250702)"
WYNYARD AIRPORT,"LINESTRING (16221919.854016738 -5011866.270234302, 16222139.15336749 -5011903.143465108)"
WYNYARD AIRPORT,"LINESTRING (16222139.15336749 -5011903.143465108, 16222145.832535496 -5011904.61839705, 16222670.147227125 -5011990.164845553, 16223192.235529369 -5012075.712046585, 16224076.112100912 -5012218.784048765)"
WYNYARD AIRPORT,"LINESTRING (16221845.269955892 -5012041.787958309, 16222139.15336749 -5011903.143465108)"
WYNYARD AIRPORT,"LINESTRING (16222139.15336749 -5011903.143465108, 16223267.932834787 -5011370.707988954)"
CANBERRA AIRPORT,"LINESTRING (16608290.894965362 -4205720.411509152, 16608292.008400027 -4203407.136128941)"
CANBERRA AIRPORT,"LINESTRING (16608290.894965362 -4205720.411509152, 16607262.303118113 -4204855.604309452)"
CANBERRA AIRPORT,"LINESTRING (16608826.341587255 -4206169.210409465, 16608290.894965362 -4205720.411509152)"
CANBERRA AIRPORT,"LINESTRING (16608290.894849462 -4206837.668004081, 16608290.894965362 -4205720.411509152)"
PROSERPINE WHITSUNDAY COAST AIRPORT,"LINESTRING (16535886.657205343 -2331188.04900413, 16537899.313362062 -2332117.38682868)"
PROSERPINE WHITSUNDAY COAST AIRPORT,"LINESTRING (16537058.851315742 -2331611.11765638, 16538148.669084119 -2331172.600256252)"
PROSERPINE WHITSUNDAY COAST AIRPORT,"LINESTRING (16535886.657205343 -2331188.04900413, 16537899.313362062 -2332117.38682868)"
PROSERPINE WHITSUNDAY COAST AIRPORT,"LINESTRING (16537058.851315742 -2331611.11765638, 16538148.669084119 -2331172.600256252)"
YOUNG AERODROME,"LINESTRING (16503003.83771274 -4062430.8982832204, 16502610.87982277 -4063921.83007821)"
TEMORA AERODROME,"LINESTRING (16421318.718580537 -4085044.9213263597, 16421045.98571586 -4086667.0516938088)"
COOTAMUNDRA AERODROME,"LINESTRING (16479258.275853004 -4111972.5560163534, 16479415.236180643 -4113317.181876526)"
ONSLOW AERODROME,"LINESTRING (12814784.751994055 -2470823.055097143, 12814563.226281457 -2471679.4845085507, 12814394.020712193 -2472335.9094994296)"
HOPETOUN AERODROME,"LINESTRING (15847195.19923097 -4261337.409172096, 15847568.119464807 -4261333.296111597)"
HOPETOUN AERODROME,"LINESTRING (15847568.119464807 -4261333.296111597, 15847789.645215577 -4261331.925098662)"
HOPETOUN AERODROME,"LINESTRING (15847285.367949959 -4262105.212524249, 15847568.119464807 -4261333.296111597)"
HOPETOUN AERODROME,"LINESTRING (15847568.119464807 -4261333.296111597, 15847757.362604594 -4260817.801489149)"
,"LINESTRING (15815595.11442974 -1415691.298422348, 15818779.964809703 -1417632.884174646)"
WEIPA AERODROME,"LINESTRING (15798086.785335466 -1422482.8488726742, 15799530.599010244 -1423489.224018545)"
ST GEORGE AERODROME,"LINESTRING (16540845.857294252 -3254911.686512417, 16542077.050654262 -3255640.7508059023)"
ST GEORGE AERODROME,"LINESTRING (16540845.857294252 -3254911.686512417, 16542313.04793481 -3255780.7659086366)"
CHINCHILLA AERODROME,"LINESTRING (16766305.665471906 -3094576.9409520496, 16767051.50588779 -3095504.598863635)"
HALLS CREEK AERODROME,"LINESTRING (14211178.542607883 -2065807.7442070134, 14212243.870048676 -2064695.4550207972)"
FITZROY CROSSING AERODROME,"LINESTRING (13977477.76034411 -2058381.5236395972, 13977064.765085021 -2059695.0079937375)"
BAMYILI AERODROME,"LINESTRING (14791938.969620232 -1633728.882912126, 14792792.790061612 -1634065.8098324107)"
TINDAL AERODROME,"LINESTRING (14735271.786004663 -1633056.1915176366, 14737126.36858823 -1635201.9640254893)"
DERBY AERODROME,"LINESTRING (13767440.158245636 -1964682.9792422515, 13764956.620556014 -1963742.860196149)"
CURTIN AERODROME,"LINESTRING (13786355.56538774 -1989165.190326976, 13782725.437016943 -1987800.1087573809)"
BROOME AERODROME,"LINESTRING (13605213.164513344 -2031277.6140014054, 13607268.122182164 -2031841.6230025121)"
BROOME AERODROME,"LINESTRING (13605213.164513344 -2031277.6140014054, 13607268.122182164 -2031841.6230025121)"
WAGGA WAGGA,"LINESTRING (16415141.591364471 -4186504.6312870346, 16417019.550979182 -4185502.4410175225)"
TUMUT,"LINESTRING (16502036.457852364 -4200962.072769133, 16502086.551739966 -4199704.983764559)"
MARYBOROUGH AERODROME,"LINESTRING (15997357.361474141 -4443378.015740963, 15997517.661411945 -4444674.9179577315)"
MARYBOROUGH AERODROME,"LINESTRING (15997644.565690855 -4443642.961369037, 15998400.424925277 -4443384.987991353)"
STAWELL AERODROME,"LINESTRING (15888290.99537486 -4448274.994326587, 15889888.429740839 -4449010.2262460375, 15889834.996310586 -4450150.145809923)"
BALLARAT AERODROME,"LINESTRING (16007708.953890683 -4510011.786905993, 16007128.979418868 -4510326.126922116)"
BALLARAT AERODROME,"LINESTRING (16007174.62042662 -4510018.803279522, 16007128.979418868 -4510326.126922116)"
BALLARAT AERODROME,"LINESTRING (16007128.979418868 -4510326.126922116, 16006307.44168343 -4510770.990298108)"
BALLARAT AERODROME,"LINESTRING (16007128.979418868 -4510326.126922116, 16006941.96260734 -4511576.564034843)"
ARARAT AERODROME,"LINESTRING (15917867.463304397 -4482046.575828492, 15917418.845810516 -4482355.880916436)"
ARARAT AERODROME,"LINESTRING (15917418.845810516 -4482355.880916436, 15917171.716570798 -4482525.23280252)"
ARARAT AERODROME,"LINESTRING (15917084.88741412 -4482109.555713078, 15917418.845810516 -4482355.880916436)"
ARARAT AERODROME,"LINESTRING (15917418.845810516 -4482355.880916436, 15918345.023763385 -4483036.104323193)"
BALRANALD,"LINESTRING (15982890.308128167 -4113682.406879472, 15983006.080489093 -4112241.695633295)"
ROBINVALE,"LINESTRING (15893186.849812515 -4116044.7552538826, 15893821.370897515 -4114835.102461442)"
SOUTH GOULBURN ISLAND AERODROME,"LINESTRING (14848141.956859745 -1306097.9422265987, 14846291.827007623 -1305774.0080620365)"
DARWIN INTERNATIONAL AIRPORT,"LINESTRING (14567894.037060892 -1392348.6736440784, 14568460.653241327 -1392544.7242062252)"
DARWIN INTERNATIONAL AIRPORT,"LINESTRING (14568460.653241327 -1392544.7242062252, 14571137.886863912 -1393469.1428578822)"
DARWIN INTERNATIONAL AIRPORT,"LINESTRING (14568472.898375958 -1393843.0219366038, 14568460.653241327 -1392544.7242062252)"
DARWIN INTERNATIONAL AIRPORT,"LINESTRING (14568460.653241327 -1392544.7242062252, 14568458.42685345 -1392273.4452891564)"
OENPELLI AERODROME,"LINESTRING (14805714.759926891 -1382416.7591087199, 14806904.76521854 -1383059.413029992)"
MOREE AERODROME,"LINESTRING (16680442.690905139 -3440249.337079652, 16681001.51485849 -3438477.9167031553)"
MOREE AERODROME,"LINESTRING (16679750.283827316 -3439534.344659389, 16680692.046665015 -3438942.1716706115)"
COBAR AIRPORT,"LINESTRING (16228994.322005788 -3703263.8543038764, 16230455.9468079 -3702234.640032)"
MACKAY AERODROME,"LINESTRING (16606321.825973617 -2411370.249789147, 16606886.215666443 -2412261.969693914)"
MACKAY AERODROME,"LINESTRING (16605988.980590036 -2412848.1178948563, 16606886.215666443 -2412261.969693914)"
MACKAY AERODROME,"LINESTRING (16606886.215666443 -2412261.969693914, 16607154.495633487 -2412086.4871531148)"
MACKAY AERODROME,"LINESTRING (16606886.215666443 -2412261.969693914, 16606888.442055758 -2412265.550989113, 16607470.642861985 -2413197.9062139667)"
PORT AUGUSTA AERODROME,"LINESTRING (15330128.51414177 -3829335.8703787774, 15330648.376025343 -3830742.995559655)"
ALBURY AERODROME,"LINESTRING (16358337.478900624 -4309998.214419518, 16360657.37674938 -4309644.286416721)"
WANGARATTA AERODROME,"LINESTRING (16287040.691852545 -4356901.790282367, 16286755.713818356 -4358929.716047899)"
BENALLA AERODROME,"LINESTRING (16253228.513459275 -4376892.052806532, 16254513.140162699 -4376991.827729295)"
,"LINESTRING (16803573.101663012 -4027977.2404423975, 16804219.867764536 -4028401.528522958)"
CAMDEN AERODROME,"LINESTRING (16775346.935049133 -4033445.854152249, 16773603.671987586 -4034249.177309725)"
HOXTON PARK AERODROME,"LINESTRING (16792904.244362526 -4017418.0863944786, 16792599.229142517 -4016134.421728915)"
,"LINESTRING (16783819.466623552 -3975310.619893026, 16786244.00470644 -3976065.7705733026)"
SYDNEY AIRPORT,"LINESTRING (16830197.38110897 -4022025.447476781, 16830816.317067254 -4024911.023276113)"
SYDNEY AIRPORT,"LINESTRING (16828271.5545236 -4019070.8363901554, 16828682.323184762 -4020875.446613951)"
SYDNEY AIRPORT,"LINESTRING (16828682.323184762 -4020875.446613951, 16829479.370235413 -4024367.4054317405)"
SYDNEY AIRPORT,"LINESTRING (16830355.45494521 -4020392.4005274884, 16828682.323184762 -4020875.446613951)"
SYDNEY AIRPORT,"LINESTRING (16828682.323184762 -4020875.446613951, 16827433.31863721 -4021235.0608524266)"
BANKSTOWN AIRPORT,"LINESTRING (16808846.306177977 -4018974.2385844267, 16807552.773976706 -4018104.91450062)"
BANKSTOWN AIRPORT,"LINESTRING (16807549.43442194 -4017837.9594622212, 16807552.773976706 -4018104.91450062)"
BANKSTOWN AIRPORT,"LINESTRING (16807443.680899385 -4018032.473811486, 16807552.773976706 -4018104.91450062)"
BANKSTOWN AIRPORT,"LINESTRING (16807552.773976706 -4018104.91450062, 16807555.000346195 -4018286.0182020343, 16807560.566262297 -4018807.881212837)"
EDINBURGH AERODROME,"LINESTRING (15430821.417114787 -4122568.8177551413, 15430418.440476978 -4125450.372150216)"
PARAFIELD AIRPORT,"LINESTRING (15431654.086104242 -4135842.5853221714, 15432828.506550197 -4135739.564314211)"
PARAFIELD AIRPORT,"LINESTRING (15431494.899243133 -4136132.676053582, 15432697.149557816 -4136020.1633921936)"
PARAFIELD AIRPORT,"LINESTRING (15433125.729516065 -4136277.724329895, 15433458.57477106 -4135673.143371848)"
PARAFIELD AIRPORT,"LINESTRING (15432713.847428018 -4137024.684532111, 15432889.732210577 -4136725.0810685935)"
PARAFIELD AIRPORT,"LINESTRING (15433100.126060417 -4135819.541127209, 15432296.399390519 -4137293.114353491)"
BARROW ISLAND LANDING GROUND,"LINESTRING (12846527.496098856 -2376283.7286955747, 12846890.39756229 -2375547.4883258324, 12847501.541437564 -2374302.6199815944)"
BREWARRINA AERODROME,"LINESTRING (16342822.956401223 -3501077.8493899363, 16343740.229002163 -3499779.906110863)"
BREWARRINA AERODROME,"LINESTRING (16342822.956401223 -3501077.8493899363, 16343740.229002163 -3499779.906110863)"
BOURKE AIRPORT,"LINESTRING (16245618.788619598 -3509314.5057287365, 16247486.72951831 -3508343.6218039007)"
KARRATHA AERODROME,"LINESTRING (13000574.732850043 -2357589.234230901, 12999657.460328847 -2357682.063343324, 12998362.814767988 -2357812.9770064293, 12998371.720325967 -2357803.4559855205)"
PERTH INTERNATIONAL AIRPORT,"LINESTRING (12908609.342323821 -3753727.671877514, 12909553.331484905 -3753945.401334329)"
PERTH INTERNATIONAL AIRPORT,"LINESTRING (12909553.331484905 -3753945.401334329, 12910693.242926978 -3754244.4578491896, 12909262.78772943 -3755103.631066959)"
PERTH INTERNATIONAL AIRPORT,"LINESTRING (12909262.78772943 -3755103.631066959, 12909553.331484905 -3753945.401334329)"
PERTH INTERNATIONAL AIRPORT,"LINESTRING (12908442.363232497 -3755620.47620088, 12909262.78772943 -3755103.631066959)"
PERTH INTERNATIONAL AIRPORT,"LINESTRING (12908563.701605765 -3757898.0068096756, 12909262.78772943 -3755103.631066959)"
PERTH INTERNATIONAL AIRPORT,"LINESTRING (12910187.852530288 -3754547.4569886895, 12909262.78772943 -3755103.631066959)"
PERTH INTERNATIONAL AIRPORT,"LINESTRING (12909262.78772943 -3755103.631066959, 12909401.937037509 -3754547.457039383)"
PERTH INTERNATIONAL AIRPORT,"LINESTRING (12908442.363232497 -3755620.47620088, 12909262.78772943 -3755103.631066959)"
PERTH INTERNATIONAL AIRPORT,"LINESTRING (12908563.701605765 -3757898.0068096756, 12909262.78772943 -3755103.631066959)"
ROTTNEST ISLAND AERODROME,"LINESTRING (12861195.039064238 -3764184.4442613153, 12862719.002675697 -3764191.007915076)"
ROTTNEST ISLAND AERODROME,"LINESTRING (12861195.039064238 -3764184.4442613153, 12862719.002675697 -3764191.007915076)"
JANDAKOT AIRPORT,"LINESTRING (12898989.114769196 -3776501.7249989603, 12900334.967158642 -3775556.9264730047)"
JANDAKOT AIRPORT,"LINESTRING (12898866.663343024 -3776441.276704825, 12898989.114769196 -3776501.7249989603)"
JANDAKOT AIRPORT,"LINESTRING (12899383.185713107 -3776550.3466546256, 12900483.022072563 -3775750.085047918)"
