NAME,geometry
,"LINESTRING (16148243.113724379 -4439117.497509119, 16148816.409061857 -4438456.822606738)"
MELBOURNE AIRPORT,"LINESTRING (16123160.602452306 -4531720.633531808, 16122985.83098253 -4530536.681100618)"
MELBOURNE AIRPORT,"LINESTRING (16121569.847214699 -4531591.263889571, 16123160.602452306 -4531720.633531808)"
MELBOURNE AIRPORT,"LINESTRING (16123160.602452306 -4531720.633531808, 16124427.418029822 -4531824.692884751)"
MELBOURNE AIRPORT,"LINESTRING (16123662.652977718 -4535148.103250097, 16123160.602452306 -4531720.633531808)"
MELBOURNE AIRPORT,"LINESTRING (16123662.652977718 -4535148.103250097, 16123160.602452306 -4531720.633531808)"
MELBOURNE AIRPORT,"LINESTRING (16123160.602452306 -4531720.633531808, 16122985.83098253 -4530536.681100618)"
MELBOURNE AIRPORT,"LINESTRING (16121569.847214699 -4531591.263889571, 16123160.602452306 -4531720.633531808)"
MELBOURNE AIRPORT,"LINESTRING (16123160.602452306 -4531720.633531808, 16124427.418029822 -4531824.692884751)"
ESSENDON AIRPORT,"LINESTRING (16130383.008929146 -4541543.337954054, 16131811.237753287 -4541489.852307862)"
ESSENDON AIRPORT,"LINESTRING (16130383.008929146 -4541543.337954054, 16130328.462516788 -4540035.988898385)"
ESSENDON AIRPORT,"LINESTRING (16129514.717048556 -4541575.710978227, 16130383.008929146 -4541543.337954054)"
ESSENDON AIRPORT,"LINESTRING (16130398.593617061 -4541989.532568143, 16130383.008929146 -4541543.337954054)"
ESSENDON AIRPORT,"LINESTRING (16130383.008929146 -4541543.337954054, 16131811.237753287 -4541489.852307862)"
ESSENDON AIRPORT,"LINESTRING (16130383.008929146 -4541543.337954054, 16130328.462516788 -4540035.988898385)"
ESSENDON AIRPORT,"LINESTRING (16129514.717048556 -4541575.710978227, 16130383.008929146 -4541543.337954054)"
ESSENDON AIRPORT,"LINESTRING (16130398.593617061 -4541989.532568143, 16130383.008929146 -4541543.337954054)"
,"LINESTRING (16113982.308808094 -4569671.268308883, 16114197.155404225 -4569477.917076921)"
,"LINESTRING (16113982.308808094 -4569671.268308883, 16113903.272062948 -4568734.183417025)"
,"LINESTRING (16114046.874035599 -4570447.532232588, 16113982.308808094 -4569671.268308883)"
,"LINESTRING (16113147.412708873 -4570426.360551066, 16113982.308808094 -4569671.268308883)"
,"LINESTRING (16113982.308808094 -4569671.268308883, 16114197.155404225 -4569477.917076921)"
,"LINESTRING (16113982.308808094 -4569671.268308883, 16113903.272062948 -4568734.183417025)"
,"LINESTRING (16114046.874035599 -4570447.532232588, 16113982.308808094 -4569671.268308883)"
,"LINESTRING (16113147.412708873 -4570426.360551066, 16113982.308808094 -4569671.268308883)"
MOORABBIN AIRPORT,"LINESTRING (16152420.921754599 -4575662.7123038415, 16152403.110660482 -4575417.000812853)"
MOORABBIN AIRPORT,"LINESTRING (16152334.092576971 -4575546.916500905, 16152420.921754599 -4575662.7123038415)"
MOORABBIN AIRPORT,"LINESTRING (16152989.764231343 -4575915.49059585, 16152763.785686472 -4576123.084021841)"
MOORABBIN AIRPORT,"LINESTRING (16152420.921754599 -4575662.7123038415, 16152763.785686472 -4576123.084021841)"
MOORABBIN AIRPORT,"LINESTRING (16152763.785686472 -4576123.084021841, 16152471.01545341 -4576392.820466461)"
MOORABBIN AIRPORT,"LINESTRING (16152471.01545341 -4576392.820466461, 16152420.921754599 -4575662.7123038415)"
MOORABBIN AIRPORT,"LINESTRING (16152471.01545341 -4576392.820466461, 16152308.48901212 -4576543.932432691)"
MOORABBIN AIRPORT,"LINESTRING (16152763.785686472 -4576123.084021841, 16153158.969763504 -4576656.914866435)"
MOORABBIN AIRPORT,"LINESTRING (16152519.995960921 -4577083.434318132, 16152471.01545341 -4576392.820466461)"
